date,temperature,humidity,luminosity
2019-12-11 14:48:47.395,AA04,"22.2,31.0",265
2019-12-11 14:48:49.672,AA04,"22.2,31.0",261
2019-12-11 14:48:51.947,AA04,"22.2,31.0",265
2019-12-11 14:48:54.220,AA04,"22.2,31.0",265
2019-12-11 14:48:56.494,AA04,"22.2,30.9",265
2019-12-11 14:48:58.771,AA04,"22.2,30.9",263
2019-12-11 14:49:01.044,AA04,"22.2,30.9",261
2019-12-11 14:49:03.318,AA04,"22.3,31.0",263
2019-12-11 14:49:05.591,AA04,"22.3,30.9",263
2019-12-11 14:49:07.863,AA04,"22.3,30.9",265
2019-12-11 14:49:10.141,AA04,"22.2,30.8",265
2019-12-11 14:49:12.414,AA04,"22.2,30.8",265
2019-12-11 14:49:14.687,AA04,"22.3,30.9",265
2019-12-11 14:49:16.961,AA04,"22.2,30.8",265
2019-12-11 14:49:19.233,AA04,"22.3,31.0",265
2019-12-11 14:49:21.510,AA04,"22.3,31.1",265
2019-12-11 14:49:23.785,AA04,"22.2,31.0",263
2019-12-11 14:49:26.058,AA04,"22.2,31.0",263
2019-12-11 14:49:28.331,AA04,"22.2,31.0",258
2019-12-11 14:49:30.608,AA04,"22.2,31.1",258
2019-12-11 14:49:32.881,AA04,"22.2,31.3",258
2019-12-11 14:49:35.155,AA04,"22.2,31.4",260
2019-12-11 14:49:37.428,AA04,"22.2,31.5",261
2019-12-11 14:49:39.705,AA04,"22.2,31.6",260
2019-12-11 14:49:41.977,AA04,"22.3,31.6",260
2019-12-11 14:49:44.252,AA04,"22.2,31.6",260
2019-12-11 14:49:46.525,AA04,"22.2,31.6",261
2019-12-11 14:49:48.797,AA04,"22.2,31.6",263
2019-12-11 14:49:51.075,AA04,"22.2,31.7",260
2019-12-11 14:49:53.348,AA04,"22.2,31.7",260
2019-12-11 14:49:55.621,AA04,"22.2,31.7",261
2019-12-11 14:49:57.894,AA04,"22.2,31.7",261
2019-12-11 14:50:00.172,AA04,"22.2,31.7",260
2019-12-11 14:50:02.445,AA04,"22.2,31.7",258
2019-12-11 14:50:04.717,AA04,"22.2,31.7",260
2019-12-11 14:50:06.991,AA04,"22.2,31.7",261
2019-12-11 14:50:09.269,AA04,"22.2,31.7",261
2019-12-11 14:50:11.541,AA04,"22.2,31.7",261
2019-12-11 14:50:13.815,AA04,"22.2,31.7",261
2019-12-11 14:50:16.088,AA04,"22.2,31.7",261
2019-12-11 14:50:18.361,AA04,"22.2,31.7",261
2019-12-11 14:50:20.639,AA04,"22.2,31.7",261
2019-12-11 14:50:22.912,AA04,"22.2,31.7",260
2019-12-11 14:50:25.184,AA04,"22.2,31.6",261
2019-12-11 14:50:27.459,AA04,"22.2,31.6",263
2019-12-11 14:50:29.736,AA04,"22.2,31.6",261
2019-12-11 14:50:32.009,AA04,"22.2,31.6",261
2019-12-11 14:50:34.283,AA04,"22.2,31.6",265
2019-12-11 14:50:36.556,AA04,"22.2,31.6",263
2019-12-11 14:50:38.834,AA04,"22.2,31.6",263
2019-12-11 14:50:41.107,AA04,"22.2,31.7",263
2019-12-11 14:50:43.379,AA04,"22.2,31.7",261
2019-12-11 14:50:45.652,AA04,"22.2,31.7",263
2019-12-11 14:50:47.926,AA04,"22.2,31.8",261
2019-12-11 14:50:50.203,AA04,"22.2,31.8",261
2019-12-11 14:50:52.475,AA04,"22.2,31.7",260
2019-12-11 14:50:54.750,AA04,"22.2,31.7",261
2019-12-11 14:50:57.023,AA04,"22.2,31.7",263
2019-12-11 14:50:59.300,AA04,"22.2,31.7",263
2019-12-11 14:51:01.574,AA04,"22.2,31.7",260
2019-12-11 14:51:03.846,AA04,"22.3,31.8",260
2019-12-11 14:51:06.120,AA04,"22.2,31.8",235
2019-12-11 14:51:08.398,AA04,"22.2,31.8",232
2019-12-11 14:51:10.670,AA04,"22.2,31.9",234
2019-12-11 14:51:12.944,AA04,"22.2,32.0",243
2019-12-11 14:51:15.218,AA04,"22.2,32.0",238
2019-12-11 14:51:17.491,AA04,"22.2,32.0",242
2019-12-11 14:51:19.767,AA04,"22.2,32.0",238
2019-12-11 14:51:22.040,AA04,"22.2,32.0",237
2019-12-11 14:51:24.314,AA04,"22.2,32.0",238
2019-12-11 14:51:26.587,AA04,"22.2,31.9",240
2019-12-11 14:51:28.865,AA04,"22.2,31.9",237
2019-12-11 14:51:31.138,AA04,"22.2,31.9",240
2019-12-11 14:51:33.411,AA04,"22.2,31.8",258
2019-12-11 14:51:35.684,AA04,"22.2,31.8",258
2019-12-11 14:51:37.962,AA04,"22.2,33.3",258
2019-12-11 14:51:40.234,AA04,"22.2,34.0",258
2019-12-11 14:51:42.509,AA04,"22.2,33.8",258
2019-12-11 14:51:44.782,AA04,"22.2,33.6",258
