date,temperature,humidity,luminosity
2019-11-27 15:02:35.144,23.1,31.9,261
2019-11-27 15:02:37.421,23.1,31.9,261
2019-11-27 15:02:39.699,23.1,31.9,260
2019-11-27 15:02:41.976,23.1,31.9,260
2019-11-27 15:02:44.254,23.1,32.0,261
2019-11-27 15:02:46.526,23.1,32.0,261
2019-11-27 15:02:48.802,23.1,32.0,261
2019-11-27 15:02:51.081,23.1,32.0,261
2019-11-27 15:02:53.357,23.1,32.0,261
2019-11-27 15:02:55.636,23.1,32.0,263
2019-11-27 15:02:57.909,23.1,32.1,261
2019-11-27 15:03:00.186,23.1,32.1,261
2019-11-27 15:03:02.464,23.1,32.1,260
2019-11-27 15:03:04.741,23.1,32.1,261
2019-11-27 15:03:07.019,23.2,32.1,263
2019-11-27 15:03:09.292,23.1,32.1,261
2019-11-27 15:03:11.568,23.1,32.0,261
2019-11-27 15:03:13.847,23.1,32.0,261
2019-11-27 15:03:16.123,23.1,31.9,261
2019-11-27 15:03:18.400,23.1,31.9,261
2019-11-27 15:03:20.674,23.2,31.9,261
2019-11-27 15:03:22.951,23.1,31.9,261
2019-11-27 15:03:25.228,23.1,31.9,261
2019-11-27 15:03:27.506,23.2,31.9,261
2019-11-27 15:03:29.784,23.1,31.9,261
2019-11-27 15:03:32.061,23.1,31.9,261
2019-11-27 15:03:34.335,23.1,31.8,261
2019-11-27 15:03:36.612,23.1,31.8,263
2019-11-27 15:03:38.889,23.1,31.8,263
2019-11-27 15:03:41.167,23.1,31.8,263
2019-11-27 15:03:43.444,23.1,31.8,261
2019-11-27 15:03:45.721,23.1,31.8,263
2019-11-27 15:03:47.994,23.1,31.9,261
2019-11-27 15:03:50.271,23.1,31.9,261
2019-11-27 15:03:52.549,23.1,31.9,261
2019-11-27 15:03:54.826,23.1,31.9,261
2019-11-27 15:03:57.103,23.1,32.0,260
2019-11-27 15:03:59.377,23.1,32.0,258
2019-11-27 15:04:01.654,23.1,32.1,261
2019-11-27 15:04:03.931,23.1,32.1,261
2019-11-27 15:04:06.209,23.1,32.2,261
2019-11-27 15:04:08.486,23.1,32.2,261
2019-11-27 15:04:10.760,23.1,32.2,261
2019-11-27 15:04:13.037,23.1,32.2,261
2019-11-27 15:04:15.314,23.1,32.1,261
2019-11-27 15:04:17.592,23.1,32.1,261
2019-11-27 15:04:19.868,23.1,32.1,261
2019-11-27 15:04:22.141,23.1,32.2,260
2019-11-27 15:04:24.419,23.1,32.2,261
2019-11-27 15:04:26.697,23.1,32.2,261
2019-11-27 15:04:28.974,23.1,32.2,261
2019-11-27 15:04:31.251,23.1,32.2,261
2019-11-27 15:04:33.525,23.1,32.2,260
2019-11-27 15:04:35.802,23.1,32.3,263
2019-11-27 15:04:38.079,23.1,32.3,260
2019-11-27 15:04:40.357,23.1,32.3,261
2019-11-27 15:04:42.633,23.1,32.2,263
2019-11-27 15:04:44.907,23.1,32.2,263
2019-11-27 15:04:47.184,23.1,32.2,261
2019-11-27 15:04:49.462,23.1,32.2,261
